Article Number, Topic Feature, Tf-Idf, Sentence Position Feature, Class
14, 1.0, 0.364030787056046, 0.25, 1
14, 0.25, 0.2396733484600103, 0.375, 1
14, 0.15384615384615385, 0.1467904660234741, 0.5, 0
14, 0.1, 0.1488038467881368, 0.625, 0
14, 0.06666666666666667, 0.12158681746174531, 0.75, 1
14, 0.0, 0.13886106278371801, 0.875, 0
14, 0.14285714285714285, 0.19878923147841387, 1.0, 0
15, 0.3333333333333333, 0.26883018110876644, 1.0, 1
15, 0.2, 0.39966970401164065, 0.875, 0
15, 0.5, 0.6065037829899521, 0.75, 0
15, 0.0, 0.5267918572255584, 0.625, 0
15, 0.0, 0.37366344422470116, 0.5, 0
15, 0.0, 0.16583184317591398, 0.375, 1
15, 0.16666666666666666, 0.1945386756586777, 0.25, 0
15, 0.3333333333333333, 0.6931471805599453, 0.125, 0
15, 0.125, 0.2924214667987269, 0.125, 0
15, 0.0, 0.11146218398351104, 0.25, 1
15, 0.0, 0.9241962407465937, 0.375, 0
15, 0.0, 0.46209812037329684, 0.5, 1
15, 0.0, 0.2738359231841759, 0.625, 1
15, 0.0, 0.19096912117467874, 0.75, 0
15, 0.0, 0.280939184232368, 0.875, 0
15, 0.0, 1.3862943611198906, 1.0, 0
16, 0.38461538461538464, 0.16972725646631284, 1.0, 1
16, 0.0, 0.37645304178109434, 0.8823529411764706, 0
16, 0.0, 0.9444044480187387, 0.7647058823529411, 0
16, 0.13333333333333333, 0.16679283049452107, 0.6470588235294118, 1
16, 0.5, 0.397690004790554, 0.5294117647058824, 0
16, 0.0, 0.4787536857177945, 0.4117647058823529, 0
16, 0.08333333333333333, 0.20921777165115765, 0.29411764705882354, 1
16, 0.0, 0.5963183691873006, 0.17647058823529413, 0
16, 0.0, 1.416606672028108, 0.058823529411764705, 0
16, 0.0, 0.494972290042121, 0.17647058823529413, 0
16, 0.0, 0.24343149393997887, 0.29411764705882354, 1
16, 0.0, 0.28732875989740114, 0.4117647058823529, 1
16, 0.0, 0.3316117238762736, 0.5294117647058824, 0
16, 0.14285714285714285, 0.29744893951766793, 0.6470588235294118, 0
16, 0.125, 0.276498335201152, 0.7647058823529411, 0
16, 0.125, 0.29366415221159126, 0.8823529411764706, 1
16, 0.0, 0.5963183691873006, 1.0, 0
17, 0.18181818181818182, 0.1241919250775569, 1.0, 0
17, 0.05555555555555555, 0.08936985672870573, 0.6666666666666666, 1
17, 0.2, 0.30290011940081535, 0.3333333333333333, 1
17, 0.0, 0.2681095701861172, 0.3333333333333333, 0
17, 0.18181818181818182, 0.1332713654797727, 0.6666666666666666, 0
17, 0.2, 0.30290011940081535, 1.0, 0
18, 0.08695652173913043, 0.0822058798440023, 1.0, 1
18, 0.0, 0.3839931410224483, 0.7777777777777778, 0
18, 0.2, 0.13543760893446793, 0.5555555555555556, 1
18, 0.0, 0.12511642580442633, 0.3333333333333333, 0
18, 0.0, 0.35626725380005053, 0.1111111111111111, 0
18, 0.8, 0.2683782707066017, 0.3333333333333333, 0
18, 0.0, 0.16537675427552687, 0.5555555555555556, 1
18, 0.16666666666666666, 0.2779248231574825, 0.7777777777777778, 0
18, 0.0, 0.2714516428504837, 1.0, 0
19, 0.3076923076923077, 0.12267741861687122, 1.0, 1
19, 0.0, 0.173796599488733, 0.7142857142857143, 0
19, 0.1111111111111111, 0.17697700631049224, 0.42857142857142855, 1
19, 0.0, 0.4431558384788318, 0.14285714285714285, 0
19, 0.0, 0.22140372083974308, 0.42857142857142855, 0
19, 0.2857142857142857, 0.11924255650952297, 0.7142857142857143, 1
19, 0.0, 0.1134965657937702, 1.0, 0
20, 0.42857142857142855, 0.3278771357105981, 1.0, 1
20, 0.0, 0.42082469216514307, 0.8666666666666667, 0
20, 0.3333333333333333, 0.36306242711848097, 0.7333333333333333, 0
20, 0.0625, 0.15796262288960625, 0.6, 1
20, 0.0, 0.6770125502755525, 0.4666666666666667, 1
20, 0.0, 0.3213404581273371, 0.3333333333333333, 0
20, 0.14285714285714285, 0.342022996538352, 0.2, 0
20, 0.2, 0.2239837078389788, 0.06666666666666667, 0
20, 0.07142857142857142, 0.163938567855299, 0.2, 0
20, 0.0, 0.48615826577564636, 0.3333333333333333, 1
20, 0.0, 0.9026834003674034, 0.4666666666666667, 1
20, 0.0, 0.9026834003674034, 0.6, 1
20, 0.0, 0.4513417001837016, 0.7333333333333333, 1
20, 0.3, 0.23496983072565988, 0.8666666666666667, 0
